"39","ThreatsHub Cybersecurity News | What's long, hard, and full of seamen? The US Navy's latest cybersecurity war gamin…",FALSE,0,NA,2019-04-16 07:50:03,TRUE,NA,"1118058962769928192",NA,"<a href=\"https://www.threatshub.org/blog\" rel=\"nofollow\">Threatshub</a>","ThreatsHub",0,FALSE,FALSE,NA,NA
"40","Securing #cities from #cyber risk isn't a #strategy evolving along with threats - it's key to be able to #Recover w…",FALSE,0,NA,2019-04-16 07:48:46,TRUE,NA,"1118058639049351168",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","julianchwalker",0,FALSE,FALSE,NA,NA
"41","\"1 in 5 #SME business will shut down after a #ransomware attack\" The Intelligence Cell #CyberCrime",FALSE,0,NA,2019-04-16 07:47:10,FALSE,NA,"1118058234626154496",NA,"<a href=\"https://eclincher.com\" rel=\"nofollow\">eClincher</a>","theintcell",0,FALSE,FALSE,NA,NA
"42","Luxembourg’s financial monitoring body is warning of phishing attempts in the country from SMS messages claiming to…",FALSE,0,NA,2019-04-16 07:33:00,TRUE,NA,"1118054669559959553",NA,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","JessBauldry",0,FALSE,FALSE,NA,NA
"43","Hello @home, a polite notification about 52 malicious websites that may target your clients #cybercrime #infosec",FALSE,0,NA,2019-04-16 07:30:25,FALSE,NA,"1118054018994069504",NA,"<a href=\"https://www.europol.europa.eu/report-a-crime/report-cybercrime-online\" rel=\"nofollow\">WhoPhishYou</a>","WhoPhishYou",0,FALSE,FALSE,NA,NA
"44","What you should know about #internetsecurity #Security #CyberCrime #OnlineSecurity",FALSE,4,NA,2019-04-16 07:26:35,FALSE,NA,"1118053054165729281",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","JamesHatch10",3,FALSE,FALSE,NA,NA
"45","If you want to get your teeth into a great, if slightly weird drama where you can learn about hackers, it doesn’t g…",FALSE,1,NA,2019-04-16 07:10:09,TRUE,NA,"1118048919777349632",NA,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","itguys_london",1,FALSE,FALSE,NA,NA
"46","Why #cybersecurity remains a top #business priority #technology",FALSE,1,NA,2019-04-16 07:03:32,FALSE,NA,"1118047254277812224",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","rmit_csit",0,FALSE,FALSE,NA,NA
"47","Hackers Could Read Your Hotmail, MSN, and Outlook Emails by Abusing Microsoft Support Cc @techpearce2…",FALSE,0,NA,2019-04-16 07:00:20,TRUE,NA,"1118046447725887489",NA,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","AghiathChbib",0,FALSE,FALSE,NA,NA
"48","Is there a link between videogaming and cybercrime? Police think so #CyberSecurity…",FALSE,1,NA,2019-04-16 07:00:12,TRUE,NA,"1118046413936635904",NA,"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>","skhemissa",1,FALSE,FALSE,NA,NA
