no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,
33,"Flu? Cold? No matter what you're sick with, nothing is as bad as not having sub plans prepared. Luckily, we've got…",FALSE,0,NA,3/5/19 15:54,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",learnwithalbert,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
34,"Sick in bed today, my tummy hurts so much it just reminds me of all the times I missed school from getting sick 😷 🤒…",FALSE,0,NA,3/5/19 15:19,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",suiskitz,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
35,The office is one of the easiest places to catch the flu - Cleaning Will Help Workers Stay Healthy…,FALSE,0,NA,3/5/19 15:07,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",cleaning_Mag,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
36,Do you get sick more often during the winter months? #fluseason #winterblues,FALSE,1,NA,3/5/19 14:43,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",karlaschaus,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
37,When your day starts with a run to @shopprsdrugmart ... you know it is going to be rough. #flusucks #fluseason,FALSE,1,NA,3/5/19 13:42,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",carleekat,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
38,"@David_Suchet, may your little grey cells solve the case that is my horrendous flu. #poirot #agathachristie…",FALSE,0,David_Suchet,3/5/19 13:38,TRUE,NA,1.10E+18,400086050,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",JWP_____,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
39,The Flu: What To Do If You Get Sick via @CDCgov #flu #fluseason,FALSE,0,NA,3/5/19 13:05,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",GattiRx,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
40,If you are suffering from cold and flu then here are few best cold and flu medicines you need to check out. To kn…,FALSE,0,NA,3/5/19 11:15,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Health_Clubfind,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
41,"Attending a meeting for approx 20 people: 1000 wipes, 800 tissues and 2.4 litres of hand gel. #fluseason No excuse…",FALSE,3,NA,3/5/19 9:29,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Malcolm_999,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
42,Extroverts should not have to get sick. Because being quarantined in your own house is the actual worst #fluseason,FALSE,2,NA,3/5/19 8:50,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",blannio,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
43,I wear my mask on my chin because my chin is broke out. My chin is broke out because I wear my mask on my chin. It’…,FALSE,1,NA,3/5/19 8:07,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",_britjanes,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
44,Has anyone created rent-a-bae yet? Snuggle me and feed me soup and cough drops. #fluseason #sickness,FALSE,0,NA,3/5/19 5:29,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",vquinness,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
45,I just ordered soup from @Postmates and the guy came from super far away and then I asked for two blueberry muffins…,FALSE,0,NA,3/5/19 2:53,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",SanDiegoBunny,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
46,I’ve been surrounded by so many sick people I should start using one of these at work: #fluseason #stayaway,FALSE,2,NA,3/5/19 2:48,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",PhotogKatherine,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
47,@David_Suchet may your little grey cells solve the case that is my horrendous flu. #poirot #agathachristie…,FALSE,0,David_Suchet,3/5/19 2:37,TRUE,NA,1.10E+18,400086050,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",JWP_____,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
48,So many sick people on the plane. There is one hacking right behind me. All my anti-bacteria arsenals are out.…,FALSE,0,NA,3/5/19 2:16,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",teri604,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
49,My most heartfelt wishes for a speedy recovery to all of the people being hit with the ‘crud.’ Our office looks lik…,FALSE,2,NA,3/5/19 1:52,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",AnissaCenters,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
50,Totally took from a FB xPost. Unknown OP. #HealthCareProblems #FluSeason #FunnyIsFunny,FALSE,0,NA,3/5/19 1:11,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",DrCyberNinja,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
51,It’s the whole “enough energy” thing that’s getting me this time around. 😞😷 #fluseason #overit,FALSE,0,NA,3/5/19 0:52,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",kray4cy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
52,Here’s you a little chuckle just in case you’re looking for that good clean end-of-the-day-pick-me-up! Lol #chuckle…,FALSE,3,NA,3/5/19 0:25,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Angie_lefty22,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
54,Tips For Relieving Sinus Infection ♥♥♥ Read Further ☞ #Dental #Clinic…,FALSE,1,NA,3/4/19 23:15,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",nvfamilydental,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
55,This is when I high key got zero baby fever because all the poor babies getting sick. #fluseason,FALSE,2,NA,3/4/19 22:54,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",beertearss,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
56,Me going to work trying not to catch the flu #fluseason #schools,FALSE,0,NA,3/4/19 21:51,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",The_Octopuslife,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
57,"How can you tell if you have a cold or the flu? Check out this infographic to see which symptoms you have, and if y…",FALSE,0,NA,3/4/19 21:23,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",FQHealth,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
58,"When you're feeling #sick, when should you make an appointment with your doctor? #fluseason…",FALSE,0,NA,3/4/19 21:20,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",NewportHospital,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
59,Sorry for the inconvenience. Caught someone cold/ flu ugh and I got it bad. #cold #fluseason #offwork #bedrest…,FALSE,0,NA,3/4/19 19:18,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",SilverLinerSpa,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
60,#MondayMotivation with MrSteam. Natural Ways to Combat the Cold and Flu Season #fluseason…,FALSE,0,NA,3/4/19 19:08,TRUE,NA,1.10E+18,NA,"<a href=\http://www.hubspot.com/\"" rel=\""nofollow\"">HubSpot</a>""",steamtherapy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
61,We're about to be trapped in between flu and allergy season! Be prepared for your family's sake! #fluseason…,FALSE,0,NA,3/4/19 19:00,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",vitamininfuse,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
