no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,
51,It’s not too late to protect yourself from the flu! #FluShot #FluSeason,FALSE,0,NA,3/6/19 16:38,FALSE,NA,1.10333E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",WayneCoHD,0,FALSE,FALSE,NA,NA,,
52,So with 4 days of flu hell my #amwriting has been lacking. Gonna try to get a PAGE written today if my body will le…,FALSE,5,NA,3/6/19 16:08,TRUE,NA,1.10333E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",BethStowers,0,FALSE,FALSE,NA,NA,,
53,@KolbyEatWorld I’ve already died 3 times today. #fluseason,FALSE,1,KolbyEatWorld,3/6/19 16:02,FALSE,1.10331E+18,1.10332E+18,424757797,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",EatTweeetRepeat,0,FALSE,FALSE,NA,NA,,
54,Wouldn't hurt to keep this info handy from @KCMOHealthDept for ongoing #FluSeason2019! #ColdandFlu #CollegeHealth…,FALSE,2,NA,3/6/19 15:20,TRUE,NA,1.10331E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",ConcordeCareer,1,FALSE,FALSE,NA,NA,,
55,"After this #FluSeason, this is great news... Researchers Are Using Artificial Intelligence to Make a Better Flu Vac…",FALSE,0,NA,3/6/19 14:57,TRUE,NA,1.10331E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",teacheyd,0,FALSE,FALSE,NA,NA,,
56,"Weekly Influenza Report, Week 9: The number of confirmed cases of flu continues to rise in Clay County, especially…",FALSE,1,NA,3/6/19 14:39,TRUE,NA,1.1033E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",claymohealth,1,FALSE,FALSE,NA,NA,,
57,Flu Season Has Schools Increasing Disinfection #infectioncontrol #fluseason #healthyschool #FacilitiesMgmt,FALSE,3,NA,3/6/19 14:17,FALSE,NA,1.1033E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",cleaning_Mag,2,FALSE,FALSE,NA,NA,,
58,#ICYMI Officials say this #FluSeason has yet to peak! Read our #WellnessWednesday- How to Avoid the #Flu with Nurse…,FALSE,1,NA,3/6/19 14:16,TRUE,NA,1.1033E+18,NA,"<a href=\https://www.blog2social.com\"" rel=\""nofollow\"">Blog2Social APP</a>""",HCNowRadio,1,FALSE,FALSE,NA,NA,,
59,It’s #fluseason. That’s why I cover my microphone with a wet wipe before I go on the air. I want to be fully covere…,FALSE,0,NA,3/6/19 14:05,TRUE,NA,1.1033E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",951wape,0,FALSE,FALSE,NA,NA,,
60,This is for the H3N2 strain #FDA #WHO #Health #FluSeason,FALSE,0,NA,3/6/19 13:35,FALSE,NA,1.10329E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",aalex413,0,FALSE,FALSE,NA,NA,,
61,Both the @US_FDA and @WHO will finalize flu vaccine recommendations on March 21 and 22 #FDA #vaccines #FluSeason,FALSE,0,NA,3/6/19 13:29,FALSE,NA,1.10329E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",aalex413,1,FALSE,FALSE,NA,NA,,
62,Happening Now! #Influenza vaccine makers will know better how to gear up for the next #FluSeason after the @US_FDA…,FALSE,1,NA,3/6/19 13:04,TRUE,NA,1.10328E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",aalex413,0,FALSE,FALSE,NA,NA,,
