no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
179,"@SenBillCassidy just a reminder, there are millions of US kids &amp; vaccine mandates effect families who choose a spac…",FALSE,0,SenBillCassidy,2/25/19 21:52,TRUE,NA,1.10E+18,1.02E+18,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Autumn81725578,0,FALSE,FALSE,NA,NA,
180,"@SenatorIsakson just a reminder, there are millions of US kids &amp; vaccine mandates effect families who choose a spac…",FALSE,0,SenatorIsakson,2/25/19 21:52,TRUE,NA,1.10E+18,78403308,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Autumn81725578,0,FALSE,FALSE,NA,NA,
181,"Do flu shots ''wear out?\ #FluShot #FluSeason""",FALSE,1,NA,2/25/19 21:48,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",DohenyKathleen,0,FALSE,FALSE,NA,NA,
182,@rlamartini @kuriousmind93 @drfixus @LisaCostelloWV @vaccinepapers @picphysicians @delbigtree @ICANdecide You’re no…,FALSE,1,rlamartini,2/25/19 20:52,TRUE,1.10E+18,1.10E+18,258546506,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",OR4MedFreedom,0,FALSE,FALSE,NA,NA,
183,@SkepticCyclist @DocBastard @takeatoothbrush @MrsAmes84 @HonestMum A study showed that people vaccinated for flu ca…,FALSE,0,SkepticCyclist,2/25/19 20:35,TRUE,1.10E+18,1.10E+18,950451980,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
184,"@SkepticCyclist @DocBastard @takeatoothbrush @MrsAmes84 @HonestMum Vaccinated people can be asymptomatic, no sympto…",FALSE,0,SkepticCyclist,2/25/19 20:31,TRUE,1.10E+18,1.10E+18,950451980,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
185,"When many Measles Outbreaks are created by the very people who are funded by the big Vaccine Companies, stop lying!…",FALSE,1,NA,2/25/19 20:06,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",lite_crypto,0,FALSE,FALSE,NA,NA,
187,This 👇 Spreading facts re: the #flushot. “One of the main reasons we give #flu vaccine is to prevent complications.…,FALSE,9,NA,2/25/19 19:39,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",JasonTibbelsMD,1,FALSE,FALSE,NA,NA,
188,I just asked a room full of college students if they’d gotten their #flushot this year. Only 1 did.,FALSE,6,NA,2/25/19 19:31,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",alaynajolie,0,FALSE,FALSE,NA,NA,
189,"Now, the exciting part, WHY?????? 😎🙃 Why do you DOUBT that #flushot is NOT as effective as claimed in several stu…",FALSE,3,NA,2/25/19 19:12,TRUE,NA,1.10E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",VirologyComics,0,FALSE,FALSE,NA,NA,
190,"Modern day #Polio and #IronLung, except now they're called \Gulliain Barre Syndrome\"" and \""Oxygen Machine\"".…""",FALSE,29,NA,2/25/19 18:54,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",avoiceforchoice,29,FALSE,FALSE,NA,NA,
191,How to Avoid a Brutal Flu Season Like Last Year - visit your local Novant Health-GoHealth U…,FALSE,0,NA,2/25/19 16:24,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",GHUC_NC,0,FALSE,FALSE,NA,NA,
192,How to Avoid a Brutal Flu Season Like Last Year - visit your local Legacy-GoHealth Urgent C…,FALSE,1,NA,2/25/19 15:14,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",GHUC_Northwest,0,FALSE,FALSE,NA,NA,
