no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,,,,,,
50,"U.N. Finds #Israel Intentionally #Shot #Children, #Journalists &amp; the #Disabled During Gaza Protests",FALSE,0,NA,3/5/19 5:59,FALSE,NA,1.10E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",OWDC1,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
51,Always good for a #shot 🤪 #Hammer #night #badzwischenahn #hellhead #hellheadhorde #deanguitars #hammerschnaps…,FALSE,0,NA,3/5/19 5:55,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",RisingHellhead,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
54,#AD NEW SHIT‼️ @Thefamousar “Big Dog” 🐕 #shot by 📽🎞 @tsimsfilms 💪🏽 #OUTNOW‼️ Make Sure y’all check it out on…,FALSE,1,NA,3/5/19 5:36,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",DjTechno7,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
55,🚨Breaking News🚨: Tiger Woods withdraws from @apinv sighting a neck strain. Hopes to be well enough in order to play…,FALSE,2,NA,3/5/19 5:05,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",GolferRajbir,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
56,When they tell you you shouldn’t take that last #shot. 🤷‍♂️,FALSE,2,NA,3/5/19 2:40,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",thegalecomic,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
57,Caught a cool picture one night. Photo editing is still my favorite relaxing thing to do. 📸🔥 . . . . . . . . #shot…,FALSE,0,NA,3/5/19 2:21,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",stuckonbreepeat,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
58,Lunchbreak @wentworth_galleries - Open Daily 10-6pm #wentworthgalleries #sneakpeak #shot #martinplace #artgallery…,FALSE,1,NA,3/5/19 2:12,TRUE,NA,1.10E+18,NA,"<a href=\https://ifttt.com\"" rel=\""nofollow\"">IFTTT</a>""",art_australia,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
59,Wideshot at the Library.#FOC #wideshot #shooting #shootout #shot #library #manhattanview #42ndstreet #,FALSE,0,NA,3/5/19 2:09,FALSE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",pastorsdwjr,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
60,POTD: ”You can feel it in your body” #training #shot,FALSE,0,NA,3/5/19 1:34,FALSE,NA,1.10E+18,NA,"<a href=\https://dlvrit.com/\"" rel=\""nofollow\"">dlvr.it</a>""",predatorhunting,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
61,#Shot check out the acoustic rendition of @loganbrillmusic new single #WalkOfShame:,FALSE,0,NA,3/5/19 0:44,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",MorningHangover,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
62,#AD NEW SHIT‼️ @thefamousar_ “Big Dog” 🐕 #shot by 📽🎞 @tsimsfilms 💪🏽 #OUTNOW‼️ Make Sure y’all check it out on…,FALSE,0,NA,3/4/19 23:39,TRUE,NA,1.10E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",Thefamousar,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
63,"#BTS for my latest record, #SpendtheNight ft @ritamonee &amp; then my earring fell 😂... If you haven’t heard it yet, cl…",FALSE,1,NA,3/4/19 23:33,TRUE,NA,1.10E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",EVYsings,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
64,Looking so tired but I was still so happy 😁 #shot #man #airport #happy #dreaming #somedaysago #shotoniphone6s…,FALSE,1,NA,3/4/19 23:20,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",wesleywisenfath,1,FALSE,FALSE,-51.15689331,-23.32582015,,,,,,,,,,,,,,,,,,,,,,
65,Another #Sunrail shot! 🚞 * * * * * * #railroad #train #trains #trainstation #rail #railway #bandorebelz #metro…,FALSE,0,NA,3/4/19 23:12,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",OrlandoUnplugg1,0,FALSE,FALSE,-81.63166667,28.13333333,,,,,,,,,,,,,,,,,,,,,,
66,"Me, myself and I. #me #myself #selfie #SelfieSunday #selfies #picoftheday #photo #photograph #photography…",FALSE,4,NA,3/4/19 22:48,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",iamthewolves,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
67,. Happy Birthday @yiraboreanaz #birthday #birthdaygirl #shotcountrymusic #shot #sing #singer #vocal #vocalist…,FALSE,4,NA,3/4/19 21:37,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",shot_country,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
68,"Check out my new video! Don't forget to like, comment, subscribe and share! Love you all, k thanks bye!…",FALSE,1,NA,3/4/19 21:13,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",ErikBodas_,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
69,"21 of 1,021 #pics in my #phone, 1,000 left! At the #hotel in #Michigan, #omg what a #horrible #shot! Where’s my…",FALSE,2,NA,3/4/19 19:55,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",VanessaS2hart,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
70,Hit me with your best shot!!🥊 🥊🥊 • • • • #hit #me #with #your #best #shot #hitmewithyourbestshot #pink #boxing…,FALSE,0,NA,3/4/19 19:00,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",reivay1,1,FALSE,FALSE,-97.7475,30.2677,,,,,,,,,,,,,,,,,,,,,,
71,here is a #shot of wiilreyes wearing the #long #sleeve #desert #shirt. hitechmoda dkdesignfashion,FALSE,0,NA,3/4/19 18:42,FALSE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",juliz195,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
72,No Scope :) #Fortnite #Sniper #yena #Shot #PS4share,FALSE,2,NA,3/4/19 17:59,FALSE,NA,1.10E+18,NA,"<a href=\http://www.playstation.com\"" rel=\""nofollow\"">PlayStation(R)4</a>""",fedelill8,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
