no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,
32,Update. I have the #Flu Boooo. But @altbrandi1077 will be there helping you get your Mumford on!,FALSE,3,NA,3/8/19 0:45,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",thenikrivers,1,FALSE,FALSE,NA,NA,,
33,#Fluseason is here. Germs are everywhere. Even in your car. Disinfecting wipes help clean bacteria-prone surfaces l…,FALSE,0,NA,3/8/19 0:30,TRUE,NA,1.10E+18,NA,"<a href=\http://hearsaysystems.com\"" rel=\""nofollow\"">Hearsay Social</a>""",ClearviewCoop,0,FALSE,FALSE,NA,NA,,
34,The best/worst part about being sick is how I give myself absolute impunity over the amount of cookies I consume.…,FALSE,2,NA,3/8/19 0:29,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",theonlyemikate,0,FALSE,FALSE,NA,NA,,
35,Don't go it alone! Support a healthy immune system naturally with all #organic free radical fighting and detoxifyi…,FALSE,2,NA,3/8/19 0:03,TRUE,NA,1.10E+18,NA,"<a href=\https://postcron.com\"" rel=\""nofollow\"">Postcron App</a>""",Renovation_Tea,0,FALSE,FALSE,NA,NA,,
36,I got the Ebola (#Flu). #sick #sickasfuck #killme #putmedown #helpmetomcruise #helpmeoprahwinfrey #helpmebabyjesus,FALSE,0,NA,3/7/19 23:58,FALSE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",joshof13thfloor,0,FALSE,FALSE,NA,NA,,
37,"Scientists Resume Efforts To Create Deadly Flu Virus, With US Government's Blessing #flu @Forbes",FALSE,2,NA,3/7/19 23:50,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",heikki_saxen,1,FALSE,FALSE,NA,NA,,
38,There is not a cold or fever that this #ramen won't cure #cold #flu #fever #notfellingwell #fever #terakawa teraka…,FALSE,0,NA,3/7/19 23:45,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",ifixith,0,FALSE,FALSE,-75.15448,39.9554,,
39,"I tell someone I haven't had the #flu in over 14 years, because I haven't got a #vaccine since 2005, and they claim…",FALSE,0,NA,3/7/19 23:04,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",AJOatsvall,0,FALSE,FALSE,NA,NA,,
40,"Want to avoid the flu? Hot tea stimulates hair follicles in the nose, to help remove germs:",FALSE,1,NA,3/7/19 23:04,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialoomph.com\"" rel=\""nofollow\"">SocialOomph</a>""",BoostHLTH,1,FALSE,FALSE,NA,NA,,
41,"\It looks like we are moving from an H1 wave to an H3 wave. There's still a lot of #flu to come.\""""",FALSE,3,NA,3/7/19 23:00,FALSE,NA,1.10E+18,NA,"<a href=\https://www.loomly.com/\"" rel=\""nofollow\"">Loomly</a>""",ImmunizeNV,1,FALSE,FALSE,NA,NA,,
