no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,,,,,,
35,#Fluseason is upon us and germs are coming at us from all directions. It's well worth arming yourself against aches…,FALSE,0,NA,3/5/19 22:30,TRUE,NA,1.10E+18,NA,"<a href=\http://hearsaysystems.com\"" rel=\""nofollow\"">Hearsay Social</a>""",Lyle_insurance,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
36,"✨ To keep your #house_clean and #disinfected always,♻️ You have to be careful where more bacteria are there so as…",FALSE,0,NA,3/5/19 22:27,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",cindysjanitoria,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
37,"@amyklobuchar @SenMarkey @SenTinaSmith I wonder if the universal #flu vaccine is better then \La Technique\"" to fight the #Influenza""",FALSE,0,amyklobuchar,3/5/19 22:26,FALSE,1.10E+18,1.10E+18,33537967,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",Flu_Killer,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
38,"Currently, #influenza activity remains elevated in the United States, with 49 states reporting widespread activity.…",FALSE,0,NA,3/5/19 22:06,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",FluidsAndHealth,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
39,"Whether traveling to warmer weather or a snow-filled adventure, help ensure #flu is not your travel companion. See…",FALSE,9,NA,3/5/19 21:59,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",CDCFlu,8,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
40,Fighting the #flu or #cold? Here’s how elderberry can provide some relief:,FALSE,2,NA,3/5/19 21:56,TRUE,NA,1.10E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",HMHMoms,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
42,Fighting the #flu or #cold? Here’s how elderberry can provide some relief: #HMHforU…,FALSE,0,NA,3/5/19 21:55,TRUE,NA,1.10E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",HMHNewJersey,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
43,Finally feeling better. No more #Flu,FALSE,0,NA,3/5/19 21:43,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",RicanJay1985,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
44,How to make it through the rest of cold and #flu season without getting sick @BostonGlobe,FALSE,1,NA,3/5/19 21:42,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",AliRaja_MD,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
45,Stop touching your face. The average person touches their face 1000s of times/day. Each touch is potentially brin…,FALSE,1,NA,3/5/19 21:39,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",JasonTibbelsMD,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
